sep=,
project_log_link,type,client,site_name,project_no,shift_start_date,shift_start_day,night_or_day_shift,week_no,leave_place_of_rest,arrive_place_of_rest,total_travel_time,arrive_on_site,leave_site,total_site_time,time_lost,time_lost_2,time_lost_3,time_lost_4,inorail_staff,elr,postcode,miles_from,yards_from,miles_to,yards_to,total_yardage,was_shift_cancelled,staff_attended_count,subcontractors_attended_count,survey_grid,fiscal_week,fiscal_month,fiscal_quarter,fiscal_year,calendar_week,calendar_month,calendar_year
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240289_Monitoring_Brook_Bridge_25-07-01_W14_Tuesday_Night_JD.xlsm,Monitoring,AMCO,Brook Bridge,240289,07/01/2025,Tuesday,Night,14,19:20:00,00:10:00,03:45:00,22:10:00,23:15:00,01:05:00,00:00:00,00:00:00,00:00:00,00:00:00,James Dietz,,,,,,,,No,1,0,TBC,14,4,2,2026,27,July,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_Stalybridge_Pull_Testing_&_GI_25-06-26_W1_Thursday_Night_MC.xlsm,SI-GI,CRSA,Stalybridge Pull Testing & GI,240245,06/26/2025,Thursday,Night,1,22:30:00,05:00:00,02:30:00,23:45:00,03:45:00,04:00:00,00:00:00,00:00:00,00:00:00,00:00:00,Morgan Cowell,,,,,,,,No,1,4,TBC,13,3,1,2026,26,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_Stalybridge_Pull_Testing_&_GI_25-06-24_W1_Tuesday_Night_MC.xlsm,SI-GI,CRSA,Stalybridge Pull Testing & GI,240245,06/24/2025,Tuesday,Night,1,22:00:00,05:00:00,02:30:00,23:30:00,04:00:00,04:30:00,00:00:00,00:00:00,00:00:00,00:00:00,Morgan Cowell,,,,,,,,No,1,6,TBC,13,3,1,2026,26,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240259_SI-GI_BTM_-_Lower_Passenger_Shed_25-06-25_W13_Wednesday_Day_AL.xlsm,SI-GI,Octavius,BTM - Lower Passenger Shed,240259,06/25/2025,Wednesday,Day,13,07:00:00,13:30:00,03:40:00,07:30:00,10:20:00,02:50:00,00:00:00,00:00:00,00:00:00,00:00:00,Alex Lima,,,,,,,,No,1,3,TBC,13,3,1,2026,26,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250227_Monitoring_Disley_Station__25-06-18_W12_Wednesday_Day_PS.xlsm,Monitoring,AMCO,Disley Station,250227,06/18/2025,Wednesday,Day,12,00:00:00,00:00:00,22:00:00,12:00:00,14:00:00,02:00:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,2,0,TBC,12,3,1,2026,25,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_25-06-16_W12_Monday_Day_MM.xlsm,Monitoring,Amey,TRU_W4,240207,06/16/2025,Monday,Day,12,06:00:00,18:00:00,03:30:00,08:00:00,16:30:00,08:30:00,00:00:00,00:00:00,00:00:00,00:00:00,M McAvoy,,,,,,,,No,6,0,TBC,12,3,1,2026,25,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_Morley_Tunnel_25-05-16_W7_Friday_Day_TM.xlsm,Monitoring,Amey,TRU_W4 Morley Tunnel,240207,05/16/2025,Friday,Day,7,03:30:00,10:45:00,02:15:00,05:00:00,10:00:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,T Moncrieff,,,,,,,,No,4,0,TBC,7,2,1,2026,20,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_Morley_Tunnel_25-06-13_W11_Friday_Day_PS.xlsm,Monitoring,Amey,TRU_W4 Morley Tunnel,240207,06/13/2025,Friday,Day,11,00:00:00,00:00:00,19:30:00,14:00:00,18:30:00,04:30:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,2,0,TBC,11,3,1,2026,24,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_GOOSEPOOL_UB13_25-06-13_W11_Friday_Day_JW.xlsm,Monitoring,AMCO,GOOSEPOOL UB13,990,06/13/2025,Friday,Day,11,04:30:00,11:30:00,06:30:00,07:30:00,08:00:00,00:30:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,11,3,1,2026,24,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_GOOSEPOOL_UB13_25-06-12_W11_Thursday_Day_JW.xlsm,Monitoring,AMCO,GOOSEPOOL UB13,990,06/12/2025,Thursday,Day,11,04:30:00,11:30:00,06:30:00,07:30:00,08:00:00,00:30:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,11,3,1,2026,24,June,2025
